Anno,Codice_Regione,Regione,Popolazione
2019,01,Piemonte,4356406
2019,02,Valle d'Aosta/Vallée d'Aoste,125666
2019,03,Lombardia,10060574
2019,04,Trentino-Alto Adige/Südtirol,1072276
2019,05,Veneto,4905854
2019,06,Friuli-Venezia Giulia,1215220
2019,07,Liguria,1550640
2019,08,Emilia-Romagna,4459477
2019,09,Toscana,3729641
2019,10,Umbria,882015
2019,11,Marche,1525271
2019,12,Lazio,5879082
2019,13,Abruzzo,1311580
2019,14,Molise,305617
2019,15,Campania,5801692
2019,16,Puglia,4029053
2019,17,Basilicata,562869
2019,18,Calabria,1947131
2019,19,Sicilia,4999891
2019,20,Sardegna,1639591
